Pokemon No.,Name,Type 1,Type 2,Max CP,Max HP
001,Bulbasaur,Grass,Poison,1079,83
002,Ivysaur,Grass,Poison,1643,107
003,Venusaur,Grass,Poison,2598,138
006,Charizard,Fire,Flying,2620,107
012,Butterfree,Bug,Flying,1465,107
013,Weedle,Bug,Poison,452,75
014,Kakuna,Bug,Poison,488,83
015,Beedrill,Bug,Poison,1450,115
016,Pidgey,Normal,Flying,684,107
017,Pidgeotto,Normal,Flying,1232,111
018,Pidgeot,Normal,Flying,2106,143
021,Spearow,Normal,Flying,691,75
022,Fearow,Normal,Flying,1758,115
031,Nidoqueen,Poison,Ground,2502,107
034,Nidoking,Poison,Ground,2492,140
039,Jigglypuff,Normal,Fairy,924,194
040,Wigglytuff,Normal,Fairy,2192,233
041,Zubat,Poison,Flying,647,75
042,Golbat,Poison,Flying,1935,107
043,Oddish,Grass,Poison,1156,83
044,Gloom,Grass,Poison,1701,107
045,Vileplume,Grass,Poison,2510,130
046,Paras,Bug,Grass,923,67
047,Parasect,Bug,Grass,1759,107
048,Venonat,Bug,Poison,1036,107
049,Venomoth,Bug,Poison,1903,122
062,Poliwrath,Water,Fighting,2523,154
069,Bellsprout,Grass,Poison,1125,91
070,Weepinbell,Grass,Poison,1736,107
071,Victreebel,Grass,Poison,2548,138
072,Tentacool,Water,Poison,911,75
073,Tentacruel,Water,Poison,2236,138
074,Geodude,Rock,Ground,855,75
075,Graveler,Rock,Ground,1443,107
076,Golem,Rock,Ground,2319,138
079,Slowpoke,Water,Psychic,1227,154
080,Slowbro,Water,Psychic,2615,162
081,Magnemite,Electric,Steel,897,51
082,Magneton,Electric,Steel,1893,107
083,"Farfetch'd",Normal,Flying,1272,94
084,Doduo,Normal,Flying,861,67
085,Dodrio,Normal,Flying,1849,107
087,Dewgong,Water,Ice,2161,154
091,Cloyster,Water,Ice,2067,107
092,Gastly,Ghost,Poison,810,59
093,Haunter,Ghost,Poison,1390,83
094,Gengar,Ghost,Poison,2093,107
095,Onix,Rock,Ground,863,67
102,Exeggcute,Grass,Psychic,1107,107
103,Exeggutor,Grass,Psychic,2976,162
111,Rhyhorn,Ground,Rock,1190,138
112,Rhydon,Ground,Rock,2259,178
121,Starmie,Water,Psychic,2197,107
122,Mr. Mime,Psychic,Fairy,1505,107
123,Scyther,Bug,Flying,2088,122
124,Jynx,Ice,Psychic,1728,115
130,Gyarados,Water,Flying,2708,162
131,Lapras,Water,Ice,3002,218
138,Omanyte,Rock,Water,1127,107
139,Omastar,Rock,Water,2249,122
140,Kabuto,Rock,Water,1112,59
141,Kabutops,Rock,Water,2145,107
142,Aerodactyl,Rock,Flying,2180,138
144,Articuno,Ice,Flying,2999,107
145,Zapdos,Electric,Flying,3136,154
146,Moltres,Fire,Flying,3263,154
149,Dragonite,Dragon,Flying,3525,156
